Detector Type,Descriptor Type,Frame ID,Lidar-Based TTC [ms],Camera-Based TTC [ms]
BRISK,BRISK,2,12.61424528,23.10270350
BRISK,BRISK,3,14.09101251,16.42604007
BRISK,BRISK,4,16.68938579,15.20311575
BRISK,BRISK,5,15.74654436,25.18679838
BRISK,BRISK,6,12.78349116,17.67431749
BRISK,BRISK,7,11.98435083,16.85627962
BRISK,BRISK,8,13.12411806,19.72421541
BRISK,BRISK,9,13.02411806,14.97037538
BRISK,BRISK,10,11.17464148,13.41211699
BRISK,BRISK,11,12.80860114,12.81759658
BRISK,BRISK,12,8.95978042,11.01074748
BRISK,BRISK,13,9.96439004,11.85054709
BRISK,BRISK,14,9.59862989,12.03758777
BRISK,BRISK,15,8.52156620,15.69291458
BRISK,BRISK,16,9.51552489,11.29685549
BRISK,BRISK,17,9.61241487,9.70105372

BRISK,BRIEF,0,0.00000000,0.00000000
BRISK,BRIEF,1,12.51559999,14.17818266
BRISK,BRIEF,2,12.61424528,22.44267938
BRISK,BRIEF,3,14.09101251,16.20247839
BRISK,BRIEF,4,16.68938579,23.96964984
BRISK,BRIEF,5,15.74654436,18.28825931
BRISK,BRIEF,6,12.78349116,41.77857112
BRISK,BRIEF,7,11.98435083,23.11466952
BRISK,BRIEF,8,13.12411806,18.40636769
BRISK,BRIEF,9,13.02411806,20.20641950
BRISK,BRIEF,10,11.17464148,17.32649496
BRISK,BRIEF,11,12.80860114,21.31633792
BRISK,BRIEF,12,8.95978042,16.93325424
BRISK,BRIEF,13,9.96439004,14.63694033
BRISK,BRIEF,14,9.59862989,15.33649692
BRISK,BRIEF,15,8.52156620,11.05396722
BRISK,BRIEF,16,9.51552489,14.57658023
BRISK,BRIEF,17,9.61241487,13.74495354

BRISK,ORB,0,0.00000000,0.00000000
BRISK,ORB,1,12.51559999,18.08524321
BRISK,ORB,2,12.61424528,17.85139890
BRISK,ORB,3,14.09101251,18.11964439
BRISK,ORB,4,16.68938579,15.89945411
BRISK,ORB,5,15.74654436,19.14379193
BRISK,ORB,6,12.78349116,19.42557320
BRISK,ORB,7,11.98435083,17.90042073
BRISK,ORB,8,13.12411806,16.89698266
BRISK,ORB,9,13.02411806,14.92014902
BRISK,ORB,10,11.17464148,12.08453600
BRISK,ORB,11,12.80860114,13.26608018
BRISK,ORB,12,8.95978042,14.88150894
BRISK,ORB,13,9.96439004,11.65989522
BRISK,ORB,14,9.59862989,12.29393894
BRISK,ORB,15,8.52156620,11.61642855
BRISK,ORB,16,9.51552489,11.44752070
BRISK,ORB,17,9.61241487,12.45114106

BRISK,FREAK,0,0.00000000,0.00000000
BRISK,FREAK,1,12.51559999,12.34830545
BRISK,FREAK,2,12.61424528,21.08381677
BRISK,FREAK,3,14.09101251,13.58068021
BRISK,FREAK,4,16.68938579,13.82934713
BRISK,FREAK,5,15.74654436,22.30572088
BRISK,FREAK,6,12.78349116,16.33038469
BRISK,FREAK,7,11.98435083,15.44633382
BRISK,FREAK,8,13.12411806,21.48539967
BRISK,FREAK,9,13.02411806,17.82408232
BRISK,FREAK,10,11.17464148,13.98387005
BRISK,FREAK,11,12.80860114,14.84087254
BRISK,FREAK,12,8.95978042,12.64943635
BRISK,FREAK,13,9.96439004,14.61228132
BRISK,FREAK,14,9.59862989,11.82406334
BRISK,FREAK,15,8.52156620,16.41821200
BRISK,FREAK,16,9.51552489,10.37976828
BRISK,FREAK,17,9.61241487,9.24577145

BRISK,SIFT,0,0.00000000,0.00000000
BRISK,SIFT,1,12.51559999,13.05549988
BRISK,SIFT,2,12.61424528,16.57258701
BRISK,SIFT,3,14.09101251,16.79052784
BRISK,SIFT,4,16.68938579,13.54067035
BRISK,SIFT,5,15.74654436,33.00193011
BRISK,SIFT,6,12.78349116,16.11175424
BRISK,SIFT,7,11.98435083,13.31545697
BRISK,SIFT,8,13.12411806,17.02138240
BRISK,SIFT,9,13.02411806,16.19172309
BRISK,SIFT,10,11.17464148,14.67114818
BRISK,SIFT,11,12.80860114,12.81759658
BRISK,SIFT,12,8.95978042,11.78946565
BRISK,SIFT,13,9.96439004,13.64579095
BRISK,SIFT,14,9.59862989,11.06591269
BRISK,SIFT,15,8.52156620,13.35305416
BRISK,SIFT,16,9.51552489,11.04517347
BRISK,SIFT,17,9.61241487,11.20085949

ORB,BRISK,0,0.00000000,0.00000000
ORB,BRISK,1,12.51559999,17.40871298
ORB,BRISK,2,12.61424528,269.47822267
ORB,BRISK,3,14.09101251,26.37475259
ORB,BRISK,4,16.68938579,28.83618441
ORB,BRISK,5,15.74654436,596.74523275
ORB,BRISK,6,12.78349116,10.84114923
